GeneName	H_PBS_1	H_PBS_2	H_PBS_3	H_Mono_1	H_Mono_2	H_Mono_3	H_PFF_1	H_PFF_2	H_PFF_3	S_PBS_1	S_PBS_2	S_PBS_3	S_Mono_1	S_Mono_2	S_Mono_3	S_PFF_1	S_PFF_2	S_PFF_3
TSPAN6	811	524	608	558	465	636	719	643	401	258	341	320	468	283	317	463	183	243
TNMD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPM1	1452	1022	1181	1047	981	1269	1367	1247	782	558	651	696	892	599	699	915	389	499
SCYL3	127	87	107	96	79	118	115	104	55	362	456	447	530	317	367	524	255	307
C1orf112	470	275	394	341	305	354	431	388	221	323	409	371	587	436	480	549	270	350
FGR	1	0	2	0	0	1	0	0	2	4	5	4	1	4	5	11	0	2
CFH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUCA2	1177	770	929	848	791	943	994	902	573	495	590	561	863	555	629	779	389	497
GCLC	602	412	491	516	407	489	456	579	359	721	876	843	912	652	753	922	446	573
NFYA	960	628	757	622	570	733	570	793	498	1163	1509	1548	1806	1136	1385	1864	804	1087
STPG1	78	47	73	63	49	65	61	57	35	181	196	213	251	162	183	260	110	134
NIPAL3	827	551	612	692	584	738	538	674	389	473	496	543	600	378	468	586	263	359
LAS1L	1691	1210	1291	1347	1133	1408	1591	1370	886	904	1113	1154	1585	910	1149	1561	644	857
ENPP4	628	412	459	469	439	520	377	443	278	2	4	2	4	2	6	4	4	1
SEMA3F	551	429	428	417	365	348	457	398	293	46	46	50	64	50	54	45	26	26
CFTR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKIB1	1722	1273	1367	1346	1154	1613	918	1454	840	2475	3006	2952	3523	2179	2773	3455	1520	1957
CYP51A1	147	92	104	105	97	100	89	99	59	95	108	94	131	127	116	125	71	87
KRIT1	327	219	258	232	193	226	206	282	128	329	372	386	479	275	390	504	203	246
RAD52	493	306	386	367	307	367	329	343	235	253	316	282	327	247	271	392	176	259
MYH16	1	5	9	6	3	4	5	3	2	2	2	4	1	1	1	0	2	1
BAD	814	569	664	645	575	702	1166	729	460	518	648	696	784	584	591	873	336	463
LAP3	964	649	717	1390	1381	1511	1506	1163	664	651	739	685	908	605	660	918	382	497
CD99	2	1	13	3	0	4	2	0	0	1	0	1	0	1	3	1	4	3
HS3ST1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AOC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WNT16	0	0	2	2	1	2	2	0	0	2	3	0	2	0	1	0	0	1
HECW1	1	0	1	1	0	1	0	1	0	1	0	0	1	0	2	1	0	0
MAD1L1	19	6	8	3	4	11	6	9	3	10	7	13	11	14	8	10	3	13
LASP1	10275	7199	8621	7838	7399	8608	7876	9046	5707	1559	1716	1775	2336	1643	1705	2273	1060	1370
SNX11	409	250	281	320	302	363	379	376	195	389	456	467	549	417	418	607	238	353
TMEM176A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M6PR	2037	1325	1653	1694	1414	1652	1445	1662	979	1229	1474	1390	2049	1329	1482	1970	899	1124
KLHL13	5	1	2	1	2	0	1	8	2	1850	2124	2326	3312	2126	2546	3208	1400	1731
CYP26B1	31	24	30	26	27	26	29	35	16	27332	28270	30854	35998	22883	25821	34926	17311	22880
ICA1	10	14	6	7	14	6	4	6	5	945	1082	1219	1310	843	962	1437	633	823
DBNDD1	410	279	354	315	269	333	383	344	229	433	433	500	527	409	416	548	247	392
ALS2	2249	1542	1730	1680	1469	1953	1382	1782	1055	892	1176	1147	1436	942	1131	1334	630	835
CASP10	9	4	10	4	7	7	7	10	7	2	3	4	6	1	1	4	2	1
CFLAR	1193	759	924	1115	1000	1110	860	1057	537	650	762	715	1103	643	787	1122	458	613
TFPI	1023	695	746	839	692	893	873	821	466	11	12	11	25	18	22	33	11	14
NDUFAF7	336	248	326	276	223	311	285	294	175	503	641	635	789	477	614	789	349	441
RBM5	2490	1666	2004	1794	1631	1935	1925	1820	1105	2035	2587	2428	2769	1802	2156	2799	1351	1707
MTMR7	55	38	34	40	48	58	25	62	33	109	134	127	161	110	141	170	61	78
SLC7A2	628	392	470	566	525	620	286	499	286	101	115	115	314	176	220	252	91	142
ARF5	1030	740	736	744	723	802	1211	911	579	1091	1203	1253	1526	1119	1170	1504	676	924
SARM1	495	351	387	424	325	386	385	420	228	1925	2057	2125	2567	1612	1796	2461	1226	1675
POLDIP2	2285	1571	1776	1807	1570	1952	2351	1882	1268	1299	1433	1484	2012	1367	1422	1891	855	1192
PLXND1	1289	870	1006	1087	859	1005	922	993	629	195	228	223	385	225	209	343	137	197
AK2	3375	2227	2701	2510	2261	2919	3049	2765	1621	1356	1567	1536	2179	1435	1600	2034	875	1129
CD38	2	5	2	6	1	3	0	5	1	22	19	18	34	15	21	42	13	15
